,action->nil,action->hold,action->newaction
1,0.113172541744,0.869016697588,0.0178107606679
2,0.546774882529,0.426740709099,0.0264844083725
3,0.589769307924,0.384152457372,0.0260782347041
4,0.20365535248,0.780678851175,0.0156657963446
5,0.134228187919,0.852348993289,0.0134228187919
6,0.187250996016,0.804780876494,0.00796812749004
7,0.179104477612,0.810945273632,0.00995024875622
8,0.0864197530864,0.895061728395,0.0185185185185
9,0.11724137931,0.868965517241,0.0137931034483
10,0.134920634921,0.865079365079,0.0
11,0.174311926606,0.825688073394,0.0
12,0.2,0.8,0.0
13,0.166666666667,0.819444444444,0.0138888888889
14,0.152542372881,0.830508474576,0.0169491525424
15,0.102040816327,0.897959183673,0.0
16,0.0454545454545,0.954545454545,0.0
17,0.0952380952381,0.880952380952,0.0238095238095
18,0.0540540540541,0.945945945946,0.0
19,0.0571428571429,0.942857142857,0.0
20,0.0,1.0,0.0
21,0.0625,0.9375,0.0
22,0.0333333333333,0.966666666667,0.0
23,0.0,1.0,0.0
24,0.0,0.965517241379,0.0344827586207
25,0.0,1.0,0.0
26,0.0,1.0,0.0
27,0.0,1.0,0.0
28,0.0,1.0,0.0
29,0.0,1.0,0.0
30,0.037037037037,0.962962962963,0.0
31,0.0,1.0,0.0
32,0.0384615384615,0.961538461538,0.0
33,0.0,0.96,0.04
34,0.0416666666667,0.958333333333,0.0
35,0.0,1.0,0.0
36,0.0,1.0,0.0
37,0.0434782608696,0.913043478261,0.0434782608696
38,0.0,1.0,0.0
39,0.0,0.952380952381,0.047619047619
40,0.0,1.0,0.0
41,0.0,1.0,0.0
42,0.05,0.95,0.0
43,0.0526315789474,0.947368421053,0.0
44,0.0,1.0,0.0
45,0.0,0.944444444444,0.0555555555556
46,0.0,1.0,0.0
47,0.0,1.0,0.0
48,0.0,1.0,0.0
49,0.0588235294118,0.941176470588,0.0
50,0.0,1.0,0.0
51,0.0,1.0,0.0
52,0.0,1.0,0.0
53,0.0,1.0,0.0
54,0.0625,0.9375,0.0
55,0.0,1.0,0.0
56,0.0666666666667,0.933333333333,0.0
57,0.0,1.0,0.0
58,0.0,1.0,0.0
59,0.0,1.0,0.0
60,0.0,1.0,0.0
61,0.0,1.0,0.0
62,0.0,0.928571428571,0.0714285714286
63,0.0,0.923076923077,0.0769230769231
64,0.0833333333333,0.916666666667,0.0
65,0.0,1.0,0.0
66,0.0,1.0,0.0
67,0.0,1.0,0.0
68,0.0,1.0,0.0
69,0.0,1.0,0.0
70,0.0,1.0,0.0
71,0.0,1.0,0.0
72,0.0,1.0,0.0
73,0.0,0.909090909091,0.0909090909091
74,0.0,1.0,0.0
75,0.0,1.0,0.0
76,0.0,1.0,0.0
77,0.0,1.0,0.0
78,0.0,1.0,0.0
79,0.0,1.0,0.0
80,0.0,1.0,0.0
81,0.0,1.0,0.0
82,0.0,1.0,0.0
83,0.0,1.0,0.0
84,0.0,1.0,0.0
85,0.0,1.0,0.0
86,0.0,1.0,0.0
87,0.0,1.0,0.0
88,0.0,1.0,0.0
89,0.0,1.0,0.0
90,0.0,0.9,0.1
91,0.0,1.0,0.0
92,0.0,1.0,0.0
93,0.0,1.0,0.0
94,0.0,1.0,0.0
95,0.0,1.0,0.0
96,0.0,1.0,0.0
97,0.0,1.0,0.0
98,0.0,0.888888888889,0.111111111111
99,0.0,1.0,0.0
100,0.0107913669065,0.985611510791,0.00359712230216
